avg(CAST(Trades AS DOUBLE)),Ticker,Exchange
352.260162601626,ACWX,Bats-Z
0.42857142857142855,ACWX,CHX
27.650406504065042,ACWX,Phlx
0.009009009009009009,ACWX,NSX
1266.9262295081967,ACXM,Nasdaq
108.75102040816327,ACXM,Boston
37.710204081632654,ACXM,Phlx
304.55510204081634,ACXM,Arca
93.64489795918368,ACXM,Edge-A
379.64489795918365,ACXM,Bats-Z
261.47755102040816,ACXM,Edge-X
0.10176991150442478,ACXM,NSX
157.29795918367347,ACXM,Bats-Y
0.048458149779735685,ACXM,CHX
0.9387755102040817,ACY,Edge-X
0.6816326530612244,ACY,Bats-Z
0.0,ACY,NSX
0.20588235294117646,ACY,Phlx
0.85,ACY,Boston
0.2777777777777778,ACY,Bats-Y
0.11483253588516747,ACY,Edge-A
1.8277310924369747,ACY,Nasdaq
7.978494623655914,ACY,Amex
0.0,ACY,CHX
1.778301886792453,ACY,Arca
1.0555555555555556,ADAT,Phlx
37.22222222222222,ADAT,Nasdaq
2.1666666666666665,ADAT,Boston
12.166666666666666,ADAT,Bats-Z
0.0,ADAT,CHX
3.9444444444444446,ADAT,Bats-Y
22.72222222222222,ADAT,Arca
3.9444444444444446,ADAT,Edge-A
37.611111111111114,ADAT,Edge-X
544.3795918367347,ADBE,Edge-A
1012.138775510204,ADBE,Boston
2022.0653061224489,ADBE,Edge-X
2.789473684210526,ADBE,NSX
9259.426229508197,ADBE,Nasdaq
3013.6938775510203,ADBE,Arca
2209.4367346938775,ADBE,Bats-Z
0.1440329218106996,ADBE,CHX
990.0163265306122,ADBE,Bats-Y
244.86938775510205,ADBE,Phlx
9.391304347826088,ADES,Boston
5.6068376068376065,ADES,Edge-A
9.435897435897436,ADES,Bats-Y
1.5132743362831858,ADES,Phlx
76.90517241379311,ADES,Nasdaq
37.05128205128205,ADES,Arca
32.675213675213676,ADES,Edge-X
0.5,ADES,NSX
19.435897435897434,ADES,Bats-Z
0.0,ADES,CHX
0.36363636363636365,ADGE,Phlx
7.299180327868853,ADGE,Nasdaq
0.8305084745762712,ADGE,Bats-Y
2.257142857142857,ADGE,Bats-Z
7.404081632653061,ADGE,Arca
0.9683544303797469,ADGE,Boston
14.106194690265486,ADGE,Amex
9.236734693877551,ADGE,Edge-X
0.5,ADGE,CHX
0.9833333333333333,ADGE,Edge-A
2396.791836734694,ADI,Arca
2092.3102040816325,ADI,Bats-Z
1866.4326530612245,ADI,Edge-X
532.869387755102,ADI,Edge-A
673.3102040816326,ADI,Boston
310.1673469387755,ADI,Phlx
1060.2816326530613,ADI,Bats-Y
1.7004405286343611,ADI,NSX
7380.237704918033,ADI,Nasdaq
0.15677966101694915,ADI,CHX
3.388185654008439,ADK,Bats-Y
12.085714285714285,ADK,Edge-X
19.483471074380166,ADK,Amex
12.487704918032787,ADK,Nasdaq
1.1372549019607843,ADK,Phlx
0.0,ADK,CHX
1.8432203389830508,ADK,Edge-A
9.16734693877551,ADK,Bats-Z
11.657142857142857,ADK,Arca
0.0,ADK,NSX
1.801418439716312,ADK,Boston
5049.733606557377,ADM,Nasdaq
295.56734693877553,ADM,Phlx
1023.869387755102,ADM,Edge-A
2280.1306122448977,ADM,Arca
1875.004081632653,ADM,Bats-Y
1972.6244897959184,ADM,Edge-X
2421.9755102040817,ADM,Bats-Z
3839.9303278688526,ADM,NYSE
0.35269709543568467,ADM,CHX
1.2466960352422907,ADM,NSX
903.9061224489795,ADM,Boston
0.0,ADMA,CHX
11.551020408163266,ADMA,Bats-Z
0.0,ADMA,NSX
20.444897959183674,ADMA,Edge-X
6.892655367231638,ADMA,Boston
1.11,ADMA,Phlx
2.8489795918367347,ADMA,Edge-A
60.88934426229508,ADMA,Nasdaq
4.946938775510204,ADMA,Bats-Y
19.90204081632653,ADMA,Arca
0.0,ADMP,NSX
101.44081632653061,ADMP,Arca
134.9387755102041,ADMP,Edge-X
44.844897959183676,ADMP,Bats-Y
49.86530612244898,ADMP,Edge-A
0.0,ADMP,CHX
176.29508196721312,ADMP,Nasdaq
6.233606557377049,ADMP,Phlx
85.82857142857142,ADMP,Bats-Z
36.30204081632653,ADMP,Boston
104.14693877551021,ADMS,Boston
200.2734693877551,ADMS,Edge-X
59.75918367346939,ADMS,Edge-A
145.9387755102041,ADMS,Bats-Y
144.45714285714286,ADMS,Bats-Z
753.5327868852459,ADMS,Nasdaq
256.1877551020408,ADMS,Arca
17.50204081632653,ADMS,Phlx
1.09375,ADMS,CHX
0.06976744186046512,ADMS,NSX
6482.598360655737,ADP,Nasdaq
0.100418410041841,ADP,CHX
1858.9061224489797,ADP,Arca
1726.942857142857,ADP,Bats-Z
536.6612244897959,ADP,Boston
1920.4489795918366,ADP,Edge-X
185.23265306122448,ADP,Phlx
525.3755102040816,ADP,Edge-A
796.6408163265306,ADP,Bats-Y
2.074235807860262,ADP,NSX
465.0408163265306,ADPT,Edge-X
0.3611111111111111,ADPT,NSX
204.88979591836735,ADPT,Bats-Y
101.38367346938776,ADPT,Edge-A
746.3565573770492,ADPT,NYSE
690.4530612244898,ADPT,Arca
789.6188524590164,ADPT,Nasdaq
0.16560509554140126,ADPT,CHX
316.2857142857143,ADPT,Bats-Z
36.35510204081633,ADPT,Phlx
179.0408163265306,ADPT,Boston
1.0,ADRA,Phlx
1.5609756097560976,ADRA,Arca
1.613821138211382,ADRA,Edge-X
0.25523012552301255,ADRA,Boston
0.23577235772357724,ADRA,Bats-Y
0.18032786885245902,ADRA,Edge-A
0.0,ADRA,CHX
1.3510204081632653,ADRA,Nasdaq
0.9552845528455285,ADRA,Bats-Z
0.5609756097560976,ADRD,Edge-A
